Competency,Question,What to look / probing questions
Flexibility,Tell me about a situation in which you have had to adjust to changes over which you had no control.,
Flexibility,Tell me about a time when you had to adjust to another person's working style in order to complete a project/task/goal.,
Flexibility,Describe an instance when you had think on your feet to extricate yourself from a difficult situation.,
Flexibility,Describe a time when you made a major sacrifice to achieve an important goal.,
Flexibility,"Give me an example of a time when you didn't bend on the policy, procedure, or operation, and later wished you had.",
Flexibility,Give me an example of a time you were unwilling or unable to make the necessary sacrifice to achieve a goal.,
Flexibility,Most organizations today make ongoing changes in policies and procedures. Tell me about a time you had difficulty in dealing with one of these changes. What about the change made it difficult? How did you deal with the situation?,
Functional Skills,Tell me about a situation in which you had to apply some newly acquired knowledge or skill. What was the knowledge or skill?,
Functional Skills,"In your current (most recent) position, tell me how you developed an appropriate depth of knowledge and skill about the company's products/services.",
Functional Skills,Tell me about the changes or issues that are being discussed or taking place in your area of expertise. How are these issues or changes affecting the way you do your job?,
Functional Skills,Tell me how you keep abreast of the professional/technical aspects of your position.,
Functional Skills,Tell me about a time you anticipated the need to improve a technical functional skill and took action proactively.,
Functional Skills,Give me an example of a time you took the initiative to find out about the new or upcoming product/service change.,
Functional Skills,Give me an example of where your understanding of your job contributed to solving a larger problem in the organization.,
Functional Skills,Describe a situation where your professional/technical expertise made a significant difference.,
Functional Skills,Tell me about a time where your industry knowledge enabled you to identify a potential problem and develop a strategy to address it. What in your knowledge base enabled you to detect the potential problem?,
Functional Skills,"Through a real-life story, convince me that you are able to apply specific product/service knowledge to solve an internal or external problem.",
Functional Skills,Give me an example of how you acquired a technical skill and converted it into a practical application.,
Functional Skills,Tell me about your greatest success in using logic to solve a (technical/functional/jobs kill) problem. Why do you think you were successful?,
Functional Skills,"At some point, everyone gets in over his head. Tell me about a time this happened to you.",
Functional Skills,Tell me about a time you were unable to overcome a (technical/functional/job skill) problem? Why do you think you were unsuccessful? What did you learn from that situation?,
Goal Setting,Give me an example of an important goal you had to set and how you accomplished that goal.,
Goal Setting,Give me an example of a time when you set a goal and were able to meet or achieve it.,
Goal Setting,Tell me about a time when your department was going through long-term changes or working on a long-term project. What did you do to keep your staff focused?,
Goal Setting,Tell me about an important goal you failed to achieve.,
Goal Setting,Describe a time when you set a goal for yourself and did not achieve it because it was too high. What was the standard? Why was it too high? What were the ramifications of your failure to achieve the goal?,
Goal Setting,Describe a time when you set a goal for yourself that was too low.,
Goal Setting,"Describe how you set your goals for last year and how you measured your work. Did you achieve your goals? If not, why not?",
Goal Setting,"Tell me about a major project you recently finished. Specifically, how did you set the goals and monitor your progress?",
Goal Setting,Give me an example of a time when you used a systematic process to define your objectives even though you were not prompted or directed to do so. What type of system did you use? What payoff did you get from using the process?,
Goal Setting,Tell me about a time you were given a goal by someone else that you believed would be impossible to attain.,
Goal Setting,Give me an example of a time you made a major sacrifice to achieve an important goal.,
Goal Setting,Tell me about a time when you were unwilling or unable to make the sacrifice necessary to achieve a goal.,
Goal Setting,Describe your organization's culture and how that culture made it challenging for you to achieve one of your goals.,
Hiring,Give me an example of a time you were reponsible for hiring and orienting a new employee. What did you do to help him learn the new job? What did you do to help him learn about the company?,
Hiring,Tell me about the best hire you ever made.,
Hiring,Tell me about the worst hire you ever made.,
Hiring,Tell me about a time you discovered raw talent within your organization and recruited that person. How did it work out?,
Hiring,Give me an example of the talents and skills that a couple of your direct reports have that you don't possess.,
Hiring,Walk me through the process you used for the last position you filled.,
Hiring,Every now and then there is a position that is hard to fill. Tell me about the last time you had to deal with that. Why was the position hard to fill? How did you overcome that obstacle?,
Humor,Tell me about a time you used your sens of humor to diffuse a potential problem.,
Humor,Give me an example of a time that you did something so silly that you had to laugh at yourself.,
Humor,Describe a situation where you used humor to ease tensions.,
Humor,"Give me an example of a time where, in retrospect, if you had used your sense of humor, something at work would most likely have worked out better.",
Humor,Tell me about a time where you used humor that backfired on you.,
Humor,Tell me about a situation where you dealt effectively with another's person's inappropriate use of humor.,
Humor,Give me an example of a time when your ability to employ a sense of humor made you more successful than if you had not used it.,
Humility,Tell me about a time when someone gave you critical or constructive feedback.,Openess to receiving feedback.
Humility,Describe a situation in which you wished you had acted differently with someone at work. What happened?,
Humility,"Tell me about your most recent failure (or most painful experience).
Have you ever been in a highly uncertain or ambiguous work situation? How did you react?","What were the key learnings? Gauge self awareness, ability to maintain perspective and impact on those around him/her.
 =>how they perceive and manage their own failures"
Humility,"Tell me about weaknesses you've observed in your professional life, what steps have you taken to develop them?",
Humility,"While at ___________, what training did you seek out in _______________ (process, function, task, etc.) and how did you use it on the job?",
Humility,"Describe an example of your weakest skill area, and how you manage it.",
Impact-oriented,"If you left your company, what legacy/fingerprints would you leave behind?",
Impact-oriented,"In your job, who are you internal customers? What impact does your work have on their jobs? What impact does their work have on your job?",
Influencing,Describe a time when you had to persuade someone to go along with your idea. How did you do it? With your Boss? Peer? Direct Report?,
Influencing,When have you inspired someone to work harder or better at a job?  How?,
Influencing,Describe a time when you had to influence someone to do something differently than they were used to. How did you do it?,
Influencing,Describe a specific situation where you had to influence a group to achieve a shared goal.,"What was the situation & goal? What steps did you take?
 => Business Vision, Senses Big Opportunity, Inspires, Conveys Energy"
Influencing,"Tell me about the best idea you ever sold to a peer, employee, or higher level management. What was your approach? Why do you think you succeeded?",
Influencing,Tell me about a time when you anticipated a problem and were able to use your influence or persuasiveness to change the direction of the situation positively.,
Influencing,Tell me how you persuaded someone to support an unpopular project or idea.,
Influencing,Describe a situation in which you were able to use persuasion to successfully convince someone to see/do thing your way. ,Make sure you find out what level the person was whom they convinced.
Influencing,Tell me about a time when you used your interpersonal skills to build a network of contacts to reach goals.,
Influencing,Describe a time when you had to influence a number of different people groups coming from different perspectives to support you in what you wanted or needed to do. What kind of influencing techniques did you used? How were the techniques you used different from one group/person to another?,
Influencing,"Give me an example of a time you had to convince others to conform to a policy, practice, or procedure you didn't believe in.",
Influencing,"Tell me about a specific experience of yours that illustrates your ability to influence another person verbally. Use an example that involves _____________ (e.g., changing an attitude, selling a idea, changing a process/procedure).",
Influencing,"Give me an example of a time when you persuaded someone to do something that the person did not, initially, want to do.",
Influencing,Tell me about a situation where you had to persuade someone to accept your idea or proposal.,
Influencing,Describe a time you were unable to sell your idea to a key person.,
Influencing,Describe a situation in which you were unable to use persuasion to successfully convince someone to see/do things your way.,
Information Gathering,Tell me about a time where your failure to gather sufficient information resulted in your making a decision or taking an action that you probably should not have done.,
Information Gathering,Describe a time where your patience in gathering information paid off.,
Information Gathering,Tell me about the most difficult time you have had in the last couple of years gathering the information you needed for a task or project.,
Information Gathering,"Give me an example of a time where, because you didn't have enough information, you felt it was wise not to voice your opinion on something.",
Information Gathering,"Tell me about a situation where, because you had a strong network, you were able to gather information that others were not able to secure.",
Information Sharing,Tell me about a time when you failed to give your team or a member of your team the information needed to do the job you asked of them.,
Information Sharing,Give me an example of a time you provided a direct report with information that helped her make a good decision.,
Information Sharing,Describe a situation where you delayed providing others with information that would have been valuable to them.,
Information Sharing,Give me an example of a time where you felt you did an outstanding job of sharing information with another person.,
Information Sharing,Keeping information confidential is very important. Describe the last time someone asked you for information that they should not have access to. What did you do?,
Information Sharing,Give me an example of a time when you were slow to share information with your direct reports or team members and this had a negative impact on one or more of them.,
Initiative,Give an example of a goal you surpassed and how you achieved it.,
Initiative,Have you ever been a situation where you didn’t have enough work?,
Initiative,Please describe when you’ve gone above and beyond the call of duty.,
Initiative,Describe a time when you were given additional responsibilities based on your performance.,
Initiative,Tell me about a time when you showed initiative at your last job.,
Initiative,How have you taken on additional work without stepping on a colleague’s toes?,
Initiative,Describe a significant project idea you initiated in the last year. How did you know it was needed? Was it used? How did it work?,
Initiative,Give me an example of a project where you came up with the idea and managed the process start to finish.,
Initiative,"Give me an example of a project or task that you had to accomplish without sufficient information, guidelines, or direction.",
Initiative,Tell me about a project or idea-not necessarily you own-that was implemented successfully primarily because of your efforts.,
Initiative,Describe a situation where you responded proactively.,
Initiative,Give me an example of something that you have done to make your job easier or more interesting.,
Initiative,Describe a situation in which you recognized a potential problem as an opportunity.,
Initiative,Give me an example of a time you went above or beyond the call of duty in order to get a job done.,
Initiative,Describe a time where you took the initiative to act rather than waiting to be told what to do.,
Initiative,Tell me about a time you reached out for additional responsabilities.,
Initiative,Give me some examples of you doing more than what was expected of you in your job.,
Initiative,Tell me about a time when you pushed yourself to do more than was necessary.,
Initiative,"We all have periods of downtime at work. Tell me about a downtime you had, why you had it, and what you did with that time.",
Initiative,"Give me an example of an idea you tried to sell to management that was not adopted. Why do you think it wasn't adopted? If you had it to do over again, what would you do differently?",
Innovation,"What's your method to make your team more innovative?
What have you done differently than your predecessors? How/ Why?","Force them to look for alternatives, bring different profiles, etc."
Innovation,"Unfortunately, some solutions do not completely address some problems. Can you think of an interesting solution that you came up with that did not completely work? What was the situation, and what was your solution?",Look the other way
Innovation,Can you think of a time when your standard approach to problem solving did not work? What did you do?,Look the other way
Innovation,How have you changed your job since you started at _____________?,Look the other way
Innovation,What have you done that is out of the ordinary?,Look the other way
Integrity,Have you ever had anyone who worked with / for you do or say something that was misleading to the company or to a client? How did you handle it?,"Focus on actions and outcomes.
 => EI, communication skills, use of probing questions in discovery, intellectual horsepower"
Integrity,Tell me about a time when you messed up with a sensitive topic / reveal a confidential information by mistake.,
Integrity,What has been your most difficult ethical dilemma? What were the issues? What did you do?,
Integrity,Tell me about a time that you realized you made a mistake?  How did you correct it?,
Integrity,"Give me an example of a time when you were able to keep a confidence, even when you were tempted to break it or it would have been easier to break it.",
Integrity,Tell me about a specific time when you had to handle a tough problem that challenged fairness or ethical issues.,
Integrity,Give me examples of how you acted with integrity (walked your talk) in your job/work relationships.,
Integrity,Give me an example of a specific occasion in which you conformed to a policy with which you did not agree.,
Integrity,Tell me about a time when you gave the benefit of the doubt to someone and were glad that you did.,
Integrity,"At times we are all faced with the situation of having to tell a customer, employee, boss, or someone else No, because we don't believe that Yes will be the right answer- even though it will be the easy answer. Tell me about a time you faced this kind of situation.",
Integrity,Tell me about a time when you took responsibility for mistake before anyone else even knew that you had made a mistake.,
Integrity,"We are all faced with having to make a choice between two seemingly opposing things, both of which seemed like the right decision. Tell me about a time you were in this situation. What did you do? Why did you choose that ""right"" action?",
Integrity,Discuss a time when your integrity was challenged.,
Integrity,Tell me about a time when you experienced a Loss for doing what is right.,
Integrity,Tell me about a business situation when you felt honesty was inappropriate. Why?,
Integrity,Tell me about a time you saw someone at work stretch for bend the rules beyond what you felt was acceptable. What did you do? Why did you take that action?,
Integrity,"Give me an example of the time you had to present the unvarnished truth to someone, but were able to do it in a positive and helpful manner.",
Integrity,"We have all done things that we regretted after the fact. Give me an example of a time this happened to you. If you had it to do over again, what would you do differently?",
Integrity,Describe an occasion when you bent one of your core values or beliefs during a bad time.,
Integrity,Tell me about a time where you didn't practice what you preach.,
Integrity,"Tell me about a time when you chose not to give someone the benefit or the doubt and wished, in hindsight, you had. ",
Interpersonal,Describe for me a situation when you had to build and maintain a new relationship in order to accomplish a business goal.,
Interpersonal,"Building rapport with some people can be challenging. Give me an example of a time when you were able to build rapport quickly with someone in your organization, even though the situation was a difficult one.",
Interpersonal,"Describe a time when you were able to ""read"" another person effectively and, as a result, were able to adjust your actions to meet this person's needs or values.",
Interpersonal,"Tell me about a time when you had to deal with a  (rude, sarcastic, know-it-all, gossipy, negative, uncooperative, or finger-pointing) person. How did you handle the situation? Were you able to get along? How (or why not)?",
Interpersonal,Tell me about a situation where you had to work closely with a difficult coworker in order for you to successfully accomplish something. Did you make it work? How (or why not)?,
Interpersonal,Some people are more difficult than others to get along with. Tell me about your least successfully working relationship. Why do you think it was not a successful relationship?,
Interpersonal,"Give me an example of a situation where you misread another person and ended up making the situation worse instead of better, at least initially.",
Interpersonal,Describe a project you were responsible for that required a lot of interaction with people over a long period of time.,
Interpersonal,Sometimes it is important to disagree with others in order to keep a mistake from being made. Tell me about a time when you were willing to disagree with another person in order to build a positive outcome.,"Make sure you find out who the person was they disagreed with, what the outcome was, and whether the outcome was positive-or if not, what happened to keep it from being a positive outcome."
Interpersonal,Describe for me a time when you had to-tactfully but forcefully-say things that another person or group did not want to hear.,
Learning,Tell me about a time when you had to learn something new in a short amount of time. What created the situation? What did you have to learn? How did you learn it?,
Learning,Describe a time when you had to learn something quickly to solve a problem.,
Learning,Give me an example of something difficult you had to learn that you did end up learning.,
Learning,Tell me about a time you had to do an unfamiliar task.,
Learning,Tell me about a time you needed to learn something quickly for a new task or project. How did you go about it?,
Learning,Give me an example of a situation at one of your previous employers when others knew more than you did. How did you close the gap?,
Learning,Walk me through the actions that you have taken to further your own professional development over the last (six months/year/five years).,
Learning,Tell me about a job that you had that required you to learn new things.,
Learning,We all have disappointing business experiences. Tell me about one you had and what you learned from it.,
Leadership,Describe a recent crisis you had to handle. What caused it? How did you resolve? Who helped you? How did you acknowledge their help?,
Leadership  ,Can you think of a time when you delayed a decision because you knew the organizational timing was not right?  Describe what you did.,
Leadership  ,How do you stay aware of other areas in your organization?  Why is this important?,
Leadership  ,Sell me the vision of your current company?,Makes audience believe in them and willing to work with them
Leadership  ,"Based on your professional/technical expertise, what have you done to identify and act on potential improvement opportunities in your organization?",
Leadership  ,"Did you ever make a risky decision? Why, and what happened?",
Leadership  ,Share an example of how you motivated employees or coworkers.,
Leadership  ,"Tell me about the last project you lead, and what the results were.",
Leadership  ,Describe how you motivate others to get the results you want to achieve.,
Leadership  ,Tell me how the people you lead would describe your leadership style.,
Listening,Tell me about a time on your last job when you had to get a job done with only oral instructions to guide you.,
Listening,Give me an example of a time when you were a good listener.,
Listening,Sometimes people hear but don't listen. Tell me about a time when you misunderstood someone. Why do you think you misunderstood? How did you resolve the misunderstood?,
Listening,Tell me about a time where you lost your patience listening to someone who you believed did not know what she was talking about.,
Listening,"Describe a time you heard someone out, even though you initially disagreed with the person, only to change your mind in the end.",
Listening,Give me an example of a time you had to deal with a highly emotional direct report.,
Listening,Tell me about a time where your active listening skills really paid off for you.,
Listening,Describe a work situation that required you to really listen to a person who was telling you about a personal/sensitive situation.,
Management,What type of communication approach have you found most helpful to communicate to team?,"Listen for measuring, managing with transparency, taking corrective measures, looking for root cause on perf shortfalls."
Management,"At one time or another, we have all had some problems getting our point across when talking with others.  Give me some examples when this may have happened to you.",
Management,Tell me about the last person you managed who wasn't right for the role they were in (or for the company) and you had to let him/her go.,"What were they key issues, what steps did you take to resolve?What was the result?"
Management,Tell me about the highest potential person you've had the opportunity to work with. How did you support their development?,"Listen for talent/capabilities mindset.Why does the leader feel this person was the highest potential?Steps he/she took to help individual grow, stretch assigments.
 => Hire and Develop, develop others, Problem Solving"
Management,Tell me about a time when you had to dismiss one of your team members.,"What happened? What made you take this deicision? How did you communicate?
 => Decision-making, communication skills"
Management,Describe a time you were able to provide your boss with recognition for the work he performed.,
Management,"Tell me about a time you wen the ""extra mile"" for a boss. Why did you do it?",
Management,Give me an example of something that you learned from your boss that has helped you in your career.,
Management,Tell me about a time your boss coached you to improve your performance or to learn something new.,
Management,Give me more examples of the kinds of things you have talked to your boss about rather than handling them yourself.,
Management,Tell me about the worst boss you've had. Whade made her the worst boss? How were you able to work with this person?,
Management,"Tell me about the methods you use to keep informed of your employees' activities, achievements, progress toward objectives, etc.",
Management,Give me an example of a time you had to tell a direct report that you were dissatisfied with his work.,
Management,Describe your procedures for evaluating your direct reports.,
Management,Give me an example of a time you built a feedback loop into the work you delegated to a direct report.,
Management,Tell me about a major project you managed. How did you assign tasks to your direct reports? How did you monitor progress? How did you measure success along the way and in the end? ,
Management,Give me an example of a time you had to take disciplinary action with a direct report.,
Management,Tell me about a time where you were not as effective as you would have liked to have been in managing an employee's or a team's work.,
Management,"Tell me about a time you needed to implement a new (or significantly raise an existing) performance standard for your team. What was the standard? Why did you need to raise it? How did you communicate the change? How did the affected employees respond when they were told? Were people able to meet the new performance standard? If not, why not?",
Motivation,Tell me about a time you were highly motivated and your example inspired others.,
Motivation,We all get assignments we really don't want to do. Give me an example of a time that happened to you and tell me how you motivated yourself to get it done.,
Motivation,Relate a scenario where you were responsible for motivating others. Were you able to do it? How?,
Motivation,Give me an example of a time of low morale where you were able to motivate another person or group to achieve something that they weren't really motivated to achieve.,
Motivation,Tell me about a time when you provided your direct reports or a team with the things they needed to motivate themselves to an extraordinary accomplishment.,
Motivation,Tell me about a time when you were able to give an employee what she needed to maintain or regain her motivation.,
Motivation,Tell me about a time you had to handle a tough morale problem.,
Negotiation,Tell me about a time when you gained acceptance of an idea or project from your boss. How did you get this acceptance?,
Negotiation,"Give me an example of an approach you used to sell an idea to an employee, peer, or someone higher in management.",
Negotiation,"Describe for me a situation where two individuals or parties were at odds, and you helped negotiate a win-win solution.",
Negotiation,Tell me about a time you needed to get cooperation from someone in another department for you to be successful on a task or project.,
Negotiation,Tell me about the most important negotiation you have handled in the last couple of years.,
Negotiation,Tell me about a time that you were successful in a negotiation because you backed off of something that was part of the negotiation.,
Negotiation,Tell me about a time you were unsuccessful in a negotiation because you chose not to back off of something that was part of the negotiation.,
Negotiation,Give me an example of a time you were unhappy with the results of a negotiation you were involved in.,
Negotiation,Tell me about a time you won (lost) an important contract.,
Organization,How do you prioritize your day? How do you manage your inbox?,"- To dos, tools, blocked slots in agenda 
- Zero inbox, internal / external emails, bcc, reply all
=> look for specific method"
Organization,Can you walk me through last week and tell me how you planned the week’s activities and how the schedule worked out?,
Organization,How often is your time schedule upset by unforeseen circumstances? What do you do then? Give me a recent example.,
Organization,Describe a typical day ... a typical week. ,Listen for planning
Organization,How you determined what constitutes top priorities in scheduling your time?  Give examples.,
Organization,Describe a situation that required things to all be done at the same time.  How did you handle it?  What was the result?,
Organization,Tell me about a project or initiative that you were responsible for delivering on your own. How did you plan and organize it?,"Was it successful? If you had to do it again, what would you do differently?"
Organization,Tell me about a time you had to handle multiple responsabilities. How did you organize the work you needed to do?,
Organization,Give me more examples of how you determine priorities in scheduling your time.,
Organization,"With fax machines, e-mail, and other technology speeding up processes, time seems to be something we are always running low on. Describe some things you have done to organize your work in the past to meet the various time demands.",
Organization,Tell me about a time you were particularly effective in prioritizing tasks and completing a project on schedule.,
Organization,"Tell me about one of your best accomplishments, including where the assignement came from, your plans in carrying out, how you eventually did carry it out, and any obstacles you overcame.",
Organization,Give me an example of a time when you had to juggle several important activities and projects in a lilmited amount of time. Did you stay on top of all of them? How?,
Organization,"Describe how you have improved the organization of a system, process, or task in your current position.",
Organization,Tell me about a time you had multiple tasks or projects given to you all the same time and how you decided what to do when.,
Organization,Tell me about a time you got bogged down in the details of a project.,
Organization,Tell me about the last time you missed a deadline because you were not well organized.,
Organization Agility,Tell me about a time when you needed to accomplish something through an informal network.,
Organization Agility,Describe a time where your ability to understand an organization's culture helped you develop the relationships and partnerships you needed to accomplish something that had to be done.,
Organization Agility,Tell me about the organizational climate at your current (or most recent) employer and give me an example of how that climate made it difficult for you to successfully accomplish a goal or project.,
Organization Agility,Give me an example of a time when you ability to read an organization's culture enabled you to be successful at something.,
Organization Agility,Tell me about a time you were able to accomplish something that was important to you through the use of your informal network.,
Organization Agility,"Give me an example of a time when, if you had taken more time to understand how your organization worked, you might have been more successful.",
Organization Agility,Tell me about a time when you misread an organization's culture.,
Organization Agility,"Give me an example of a time where, had you understood the reasoning behind a key policy, practice, or procedure, you would have done something differently.",
Partnering,Describe for me a time you developed and maintained (or strengthened) a relationship with a person or group inside your organization. Why did you develop the relationship? How did you develop it? What did you do to maintain/strengthen it?,
Partnering,Give me an example of a time you developed and maintained (or strengthened) a realtionship with a person or group outside the organization. Why did you develop the relationship? How did you develop it? What did you do to maintain/strength it?,
Partnering,"Most things we do have an impact on others-whether we realize it or not. Tell me about a time you realized that what you would be working on could have a far-reaching impact, and you sought out relevant/appropriate people to gather their concerns and perspective before you proceeded with the task.",
Partnering,Tell me about a time you got involved in a cross-functional activity simply to develop a better working relationship with those involved in the activity.,
Partnering,Give me an example of when you wish you would have spent some time looking for common ground with stakeholders before you took a particular action.,
Partnering,Describe for me a time when you might have been more successful at something had you taken the time to clarify the expectations in a working relationships.,
Partnering,Tell me about a time that you failed to put in the required effort to maintain an internal or external working relationship.,
Patience,Tell me about a time where you lost your patience listening to someone who you believed did not know what she was talking about.,
Patience,Give me an example of a time where you felt that a process was getting in your way of getting something done.,
Patience,"Describe a process or procedure that guides your actions, but for which you have little patience.",
Patience,Tell me about a time when you failed to gather sufficient information before acting.,
Patience,Give me an example of a time that you misjudged a person or data.,
Patience,Give me an example of a specific occasion when you conformed to a policy with which you did not agree. Why did you comply? What would have been the consequences of noncompliance?,
Patience,Tell me about about the biggest error in judgment you made in your current position. Why did you make the error? How did you correct it?,
Peer relations,Describe a time you were able to provide a peer or higher-level management person with recognition for the work she performed.,
Peer relations,"Give me an example of a time where you had a disagreement with one of your peers, but were able to find common ground and solve the problem.",
Peer relations,Tell me about a time you needed to gain the trust and support of one of your peers in order to be successful on something.,
Peer relations,Describe a time you had to give candid feedback to one of your peers.,
Peer relations,Give me an example of a time you were a team player in a project with your peers.,
Peer relations,Tell me about a time you had to deal with a coworker who was very upset.,
Performance,Tell me about a time when your team was falling short on results. What was the deficit and what actions did you take?,Probe on how actions impacted situation.
Performance,In what way has your department contributed to the organization’s success?,
Performance,"In your last three roles, how did you rank relatively to your peers?","Looking for awareness, honesty, openness, record of performance and steps taken for any shortfalls & explanations for over performance"
Performance,"What are the standards of success in your job, what have you done to meet those standards?",
Performance,Give me some examples of the most complex or difficult assignments you have had to work on.  How did it work out?,
Performance,In your position how do you define doing good work?  Can you give me an example?,
Perseverance,Tell me about a time when you stayed with an idea or project for longer than anyone expected you to.,
Perseverance,Tell me about some of the obstacles you have had to overcome to reach your present position.,
Perseverance,Tell me about a time when you had to finish a job even though everyone else had given up.,
Perseverance,"Tell me about a time you encountered significant resistance or a major setback on a project you were working on, but managed to work through it anyway.",
Perseverance,Describe a time when you were asked to complete a difficult task or project where the odds were against you. Were you successful? What did you learn from the experience?,
Perseverance,All jobs have unpleasant tasks. Tell me about the most unpleasant tasks you were required to do at work. Why or why weren't you successful in getting it done?,
Perseverance,Tell me about a really tough day that you had recently and what you did to get through it.,
Perseverance,Describe a situation when you had to get a job done in spite of an unforeseen problem.,
Perseverance,Describe your most challenging project or situation and how you overcame the obstacles.,
Perseverance,"Tell me about a time when you were unable intially to sell an idea to your boss, an employee, or a peer, and so you tried again. What did you do differently the second or third time?",
Perseverance,Give me an example of a time that you gave up on something before you finished. Why did you give up?,
Perseverance,"Give me an example of a time when you tried to accomplish something and failed. Why did you fail? If you had it to do over again, what would you do differently?",
Personal Growth,Think about a time when setting a positive example hd a highly beneficial impact on people you worked with. How did you determine that a strong example was needed? What did you do? What was the effect on the people?,
Personal Growth,Tell me the one thing about you as an employee that you hope your current or last boss doesn't tell me during a reference call.,
Personal Growth,Tell me about a time when you when your were not pleased with (or were disappointed in) your performance. What did you do about it?,
Personal Growth,Tell me about a time when one of your weaknesses got the better of you.,
Personal Growth,Give me an example of a time that you used one of your strengths to help another person or team succeed.,
Personal Growth,Describe a work situation that brought out the worst in you. Why did it bring out the worst in you? What did you learn?,
Personal Growth,Tell me about something you did in your (last/current) position of which you are particularly proud.,
Personal Growth,Give me an example of a time that you failed at something (or made a mistake) and learned. What did you learn? How did you apply that learning?,
Personal Growth,Describe for me your biggest error in judgment or failure in your (current or last) position. Why did you make it? How did you correct the problem?,
Personal Growth,Tell me about a time when you were asked to complete a difficult assignement even though the odds were against you. What did you learn from that experience?,
Personal Growth,Give me an example of a disappointment you had to handle in the past year. How did you cope with it?,
Personal Growth,We all have weaknesses that can interfere with our success. Tell me about one of yours and how you overcame it to be successful on a specific task or project.,
Personal Growth,Give me an example of something that you have done in the past to improve yourself.,
Personal Growth,Describe a situation in which you received constructive feedback about your work. What was the feedback about? What was your assessment of the feedback? What did you do with the information you received? What changes did you make?,
Personal Growth,Tell me about a time when you had to learn something new or difficult in a short amount of time. What created the situation? What did you have to learn? How did you learn it?,
Personal Growth,Tell me about a time you had to do an unfamiliar task.,
Personal Growth,Give me an example of a situation when others knew more than you did. How did you close the gap?,
Personal Growth,Tell me about about something specific you did to develop yourself that distinguished you from others.,
Personal Growth,Describe a time when you were not very satisfied or pleased with your performance. What did you do about it?,
Personal Growth,Tell me about a time when you were able to treat a negative experience as a learning opportunity.,
Personal Growth,"Tell me about a work-related decision you made or a situation you handled where, if you had it to do over again, you would do something different.",
Personal Growth,Tell me about a time you received constructive feedback from a boss or coworker that you took to heart and did something about.,
Personal Growth,Describe for me a time when you were disappointed in your performance.,
Perspective,"Tell me about a time where your ability to (think globally/broadly/strategically, or look at the big picture) stopped you or someone else from doing something that would have been a mistake.",
Perspective,"Tell me about a time you had tunnel vision when looking at a project, issue, or problem.",
Perspective,Give me an example of a time where you were able to pose a variety of future scenarios to ensure that the proper course of action was taken.,
Perspective,Describe a time for me when you were able to solve a business problem or challenge by applying something that you learned through a personal or business interest of yours.,
Perspective,"Tell me about a time when your ability to explore ""what if ...."" scenarios enabled you to address a significant/major problem from occuring.",
Planning,Give me an example of a change you saw coming and how you planned for that change.,
Planning,Give me an example of an important goal that you had set for your team and the team's success in reaching it.,
Planning,Give me an example of a time you had a lot of tasks put on your plate all at one. How did you decide what tasks to do and when to do them?,
Planning,Tell me about a big project you had to plan for work.,
Planning,Tell me about your current top priorities. How did you determine that they should be your top priorities?,
Planning,"Give me an example of a time when you were effective in doing away with the ""constant emergencies"" and ""surprises"" in your work environment.",
Planning,Tell me about a time when you had too many things to do and you were required to prioritize your tasks.,
Planning,Give me an example of a time when your schedule was suddenly interrupted and your plans for the day completely changed.,
Planning,Think about the assignments you completed over the past few months. Tell me about the one that required the greatest amount of effort with regard to planning and organizing.,
Planning,Describe a time when your plans didn't work out. What did you do to recover?,
Planning,Give me a specific example of a time when you did not meet a deadline. How did you handle this?,
Planning,"Describe a time when your plan didn't work out. Why didn't it work? What did you do to recover? Were you successful then? If you had to do it over again, what would you do differently? What did you learn from this? How have you applied what you learned?",
Political,Describe a politically sensitive situation that you were in and how you handled it.,
Political,Tell me about a time that you consciously chose not to play corporate politics.,
Political,"Give me an example of a complex political situation you were able to handle effectively and quietly, which, had you not handled it well, could have blown up.",
Political,Describe a time when you agreed to implement someone else's idea over your own. How did you approach the situation? How did you feel about it? Was it a successful implementation? Why/why not?,
Political,Describe a time when you were able to anticipate a land mine and plan your upcoming actions accordingly.,
Political,Tell me about a time your willingness to play politics made you successful.,
Political,Describe a time when politics at work affected your job. How did you handle the situation? Were you successful?,
Political,Give me an example of a time you used your political savvy to push something through for approval.,
Political,Tell me about a time that you unknowingly stepped on a political landmine. What contributed to this misstep? Was it resolved effectively? How?,
Political,Tell me about a time where you were unable to successfully navigate through a political situation.,
Political,Describe an instance when you had to think on your feet to extricate yourself from a difficult situation.,
Presentation,Tell me about a presentation you made to a large audience. What was the purpose? How did you prepare it?,
Presentation,Give me an example of a presentation you did for a small group that resulted in the group agreeing to do what you wanted.,
Presentation,"Describe a situatiuon where, after a presentation, you were faced with a hostile questioner. What did you do? What were the results?",
Presentation,Give me an example of a time when a presentation you were making wasn't working and you were able to switch tactics to make it work. How did you know the presentation wasn't working?,
Presentation,Tell me about an oral presentation you made to a group within the last year. What was the most difficult aspect of the presentation?,
Presentation,Describe the most creative oral presentation you have had to make.,
Presentation,Describe the most significant presentation you have had to complete.,
Presentation,Tell me about a time you had to use your presentation skills to influence someone's opinion.,
Problem-solving,Give an example where you used logic to solve a problem.,
Problem-solving,Give an example of a goal you didn’t meet and how you handled it.,
Problem-solving,How have you handled a conflict with a peer?,
Problem-solving,How have you handled a conflict with your manager?,
Problem-solving,"What is the biggest mistake you’ve made at work, and how did you handle it?",
Problem-solving,Tell me about a time when you completed a project with very limited resources.,
